,country,cases
0,Afghanistan,0
171,Malawi,0
172,Malaysia,0
173,Maldives,0
174,Mali,0
175,Malta,0
176,Marshall Islands,0
177,Mauritania,0
178,Mauritius,0
179,Mexico,0
180,Moldova,0
181,Monaco,0
182,Mongolia,0
183,Montenegro,0
184,Morocco,0
170,Madagascar,0
185,Mozambique,0
187,Nepal,0
188,Netherlands,0
189,Netherlands,0
190,Netherlands,0
191,Netherlands,0
192,Netherlands,0
193,New Zealand,0
194,Nicaragua,0
195,Niger,0
196,Nigeria,0
197,North Macedonia,0
198,Norway,0
199,Oman,0
200,Pakistan,0
186,Namibia,0
201,Panama,0
169,MS Zaandam,0
167,Lithuania,0
137,Guinea-Bissau,0
138,Guyana,0
139,Haiti,0
140,Holy See,0
141,Honduras,0
142,Hungary,0
143,Iceland,0
144,India,0
145,Indonesia,0
146,Iran,0
147,Iraq,0
148,Ireland,0
149,Israel,0
150,Italy,0
168,Luxembourg,0
151,Jamaica,0
153,Jordan,0
154,Kazakhstan,0
155,Kenya,0
156,"Korea, South",1
157,Kosovo,0
158,Kuwait,0
159,Kyrgyzstan,0
160,Laos,0
161,Latvia,0
162,Lebanon,0
163,Lesotho,0
164,Liberia,0
165,Libya,0
166,Liechtenstein,0
152,Japan,2
136,Guinea,0
203,Paraguay,0
205,Philippines,0
240,Timor-Leste,0
241,Togo,0
242,Trinidad and Tobago,0
243,Tunisia,0
244,Turkey,0
245,US,1
246,Uganda,0
247,Ukraine,0
248,United Arab Emirates,0
249,United Kingdom,0
250,United Kingdom,0
251,United Kingdom,0
252,United Kingdom,0
253,United Kingdom,0
239,Thailand,2
254,United Kingdom,0
256,United Kingdom,0
257,United Kingdom,0
258,United Kingdom,0
259,United Kingdom,0
260,Uruguay,0
261,Uzbekistan,0
262,Vanuatu,0
263,Venezuela,0
264,Vietnam,0
265,West Bank and Gaza,0
266,Western Sahara,0
267,Yemen,0
268,Zambia,0
269,Zimbabwe,0
255,United Kingdom,0
204,Peru,0
238,Tanzania,0
236,Taiwan,1
206,Poland,0
207,Portugal,0
208,Qatar,0
209,Romania,0
210,Russia,0
211,Rwanda,0
212,Saint Kitts and Nevis,0
213,Saint Lucia,0
214,Saint Vincent and the Grenadines,0
215,San Marino,0
216,Sao Tome and Principe,0
217,Saudi Arabia,0
218,Senegal,0
219,Serbia,0
237,Tajikistan,0
220,Seychelles,0
222,Singapore,0
223,Slovakia,0
224,Slovenia,0
