Reporting_PHU,count
Algoma Public Health Unit,1
Brant County Health Unit,56
Chatham-Kent Health Unit,7
Durham Region Health Department,180
Eastern Ontario Health Unit,106
Grey Bruce Health Unit,4
Haldimand-Norfolk Health Unit,8
"Haliburton, Kawartha, Pine Ridge District Health Unit",1
Halton Region Health Department,185
Hamilton Public Health Services,150
Hastings and Prince Edward Counties Health Unit,6
Huron Perth District Health Unit,3
"Kingston, Frontenac and Lennox & Addington Public Health",4
Lambton Public Health,11
"Leeds, Grenville and Lanark District Health Unit",16
Middlesex-London Health Unit,53
Niagara Region Public Health Department,65
North Bay Parry Sound District Health Unit,4
Northwestern Health Unit,1
Ottawa Public Health,751
Peel Public Health,1079
Peterborough Public Health,5
Porcupine Health Unit,4
"Region of Waterloo, Public Health",77
Renfrew County and District Health Unit,8
Simcoe Muskoka District Health Unit,96
Southwestern Public Health,15
Sudbury & District Health Unit,2
Thunder Bay District Health Unit,1
Toronto Public Health,2564
Wellington-Dufferin-Guelph Public Health,45
Windsor-Essex County Health Unit,37
York Region Public Health Services,754
