Reporting_PHU,count
Algoma Public Health Unit,39
Brant County Health Unit,221
Chatham-Kent Health Unit,368
Durham Region Health Department,2289
Eastern Ontario Health Unit,326
Grey Bruce Health Unit,150
Haldimand-Norfolk Health Unit,451
"Haliburton, Kawartha, Pine Ridge District Health Unit",226
Halton Region Health Department,1543
Hamilton Public Health Services,1388
Hastings and Prince Edward Counties Health Unit,59
Huron Perth District Health Unit,133
"Kingston, Frontenac and Lennox & Addington Public Health",165
Lambton Public Health,330
"Leeds, Grenville and Lanark District Health Unit",353
Middlesex-London Health Unit,941
Niagara Region Public Health Department,1158
North Bay Parry Sound District Health Unit,39
Northwestern Health Unit,68
Ottawa Public Health,5154
Peel Public Health,10431
Peterborough Public Health,131
Porcupine Health Unit,78
"Region of Waterloo, Public Health",1827
Renfrew County and District Health Unit,71
Simcoe Muskoka District Health Unit,1062
Southwestern Public Health,278
Sudbury & District Health Unit,109
Thunder Bay District Health Unit,107
Timiskaming Health Unit,19
Toronto Public Health,19801
Wellington-Dufferin-Guelph Public Health,700
Windsor-Essex County Health Unit,2647
York Region Public Health Services,4663
