,_id
,count
Reporting_PHU,
Brant County Health Unit,6
Chatham-Kent Health Unit,3
Durham Region Health Department,182
Eastern Ontario Health Unit,14
Haldimand-Norfolk Health Unit,37
"Haliburton, Kawartha, Pine Ridge District Health Unit",21
Halton Region Health Department,30
Hamilton Public Health Services,47
Hastings and Prince Edward Counties Health Unit,5
Huron Perth District Health Unit,5
Lambton Public Health,25
"Leeds, Grenville and Lanark District Health Unit",52
Middlesex-London Health Unit,59
Niagara Region Public Health Department,68
North Bay Parry Sound District Health Unit,1
Ottawa Public Health,309
Peel Public Health,327
Peterborough Public Health,2
Porcupine Health Unit,9
"Region of Waterloo, Public Health",120
Renfrew County and District Health Unit,1
Simcoe Muskoka District Health Unit,45
Southwestern Public Health,5
Sudbury & District Health Unit,2
Thunder Bay District Health Unit,1
Toronto Public Health,1317
Wellington-Dufferin-Guelph Public Health,36
Windsor-Essex County Health Unit,77
York Region Public Health Services,265
