,_id
,count
Reporting_PHU,
Algoma Public Health Unit,39
Brant County Health Unit,218
Chatham-Kent Health Unit,368
Durham Region Health Department,2258
Eastern Ontario Health Unit,314
Grey Bruce Health Unit,149
Haldimand-Norfolk Health Unit,448
"Haliburton, Kawartha, Pine Ridge District Health Unit",226
Halton Region Health Department,1512
Hamilton Public Health Services,1361
Hastings and Prince Edward Counties Health Unit,58
Huron Perth District Health Unit,133
"Kingston, Frontenac and Lennox & Addington Public Health",163
Lambton Public Health,330
"Leeds, Grenville and Lanark District Health Unit",352
Middlesex-London Health Unit,937
Niagara Region Public Health Department,1148
North Bay Parry Sound District Health Unit,39
Northwestern Health Unit,68
Ottawa Public Health,5076
Peel Public Health,10299
Peterborough Public Health,131
Porcupine Health Unit,78
"Region of Waterloo, Public Health",1811
Renfrew County and District Health Unit,67
Simcoe Muskoka District Health Unit,1049
Southwestern Public Health,276
Sudbury & District Health Unit,108
Thunder Bay District Health Unit,107
Timiskaming Health Unit,19
Toronto Public Health,19540
Wellington-Dufferin-Guelph Public Health,697
Windsor-Essex County Health Unit,2636
York Region Public Health Services,4591
